templateName,size,rankNames,capturedAt,lastSentAt,sendCount
gs.as.armorySeasonPoint.888,43,gs.as.armorySeasonPoint.888,2026-05-25 00:51:41,,0
gs.as.flag.888,30,gs.as.flag.888,2026-05-25 00:51:41,,0
gs.as.power.888,31,gs.as.power.888,2026-05-25 00:51:40,,0
gs.as.pvppoint.888,34,gs.as.pvppoint.888,2026-05-25 00:51:42,,0
gs.player.RssCollect.888,41,gs.player.RssCollect.888,2026-05-25 00:51:38,,0
gs.player.power.888,36,gs.player.power.888,2026-05-25 00:51:33,,0
gs.player.pvppoint.888,39,gs.player.pvppoint.888,2026-05-25 00:51:35,,0
gs.player.scenario.888,39,gs.player.scenario.888,2026-05-25 00:51:39,,0
gs.player.tc.888,33,gs.player.tc.888,2026-05-25 00:51:37,,0
multi_alliance_5,111,,2026-05-25 00:51:33,2026-05-25 00:58:14,16
multi_player_server_8,218,,2026-05-25 00:51:33,2026-05-25 00:58:15,16
